,Question,Answer
787,"How would you modify the following code to make it more efficient?def find_word(word, text):
    if word in text:
        return ""Word found""
    else:
        return ""Word not found""","def find_word(word, text):
    # Use the 'in' operator to check if the word is in the text
    if word in text:
        return ""Word found""
    else:
        return ""Word not found""

# Use the 'count' method to check if the word is in the text more efficiently
if text.count(word) > 0:
    return ""Word found""
else:
    return ""Word not found"""
788,"Create a function that takes a list of numbers and returns the index of the largest number.[2, 5, 12, 3, 4]","def find_largest_number(nums): 
    # Initialize the index of the largest number.
    largest_index = 0

    # Loop through the list of numbers and
    # compare each number to the other. 
    # Update the index of the largest number. 
    for i in range(len(nums)):
        if nums[i] > nums[largest_index]:
            largest_index = i
    
    # Return the index of the largest number.
    return largest_index

print(find_largest_number([2, 5, 12, 3, 4])) # 2"
789,"Write a function that takes a sentence and returns the string with all occurrences of the longest word removed.""This is a very long sentence""","def remove_longest_word(sentence): 
    # Split the sentence into words 
    words = sentence.split(' ')

    # Find the longest word 
    longest_word = """"
    for word in words:
        if len(word) > len(longest_word): 
            longest_word = word 

    # Remove all occurrences of the longest word
    new_sentence = [] 
    for word in words:
        if word != longest_word: 
            new_sentence.append(word) 
    
    # Join the list back into a string and return it 
    return "" "".join(new_sentence)

print(remove_longest_word(""This is a very long sentence"")) # This is a sentence"
790,Build a regular expression to check if a string only contains numbers.,^[0-9]+$
791,"You are given a list of items. Output a list of items and their respective frequencies.[1,2,2,4,5,2,3,4,5,6]","1: 1
2: 3
3: 1
4: 2
5: 2
6: 1"
792,Create a basic neural network model to distinguish between cats and dogs.,"Model Building Code:
model = Sequential([
    Conv2D(32, (3,3), activation='relu', input_shape=(150, 150, 3)),
    MaxPooling2D(2,2),
    Conv2D(64, (3,3), activation='relu'),
    MaxPooling2D(2,2),
    Flatten(),
    Dense(512, activation='relu'),
    Dense(1, activation='sigmoid')
])

model.compile(optimizer='adam', loss='binary_crossentropy', metrics=['accuracy'])"
793,"Read the given code block and debug it.def main():
 print(""Hey I'm here"")
 if n == 0: 
  print(""Hey I'm there"")
main()","Error: n is not defined.

The given code is trying to use the variable n, which is not declared. To fix this, it should be declared before the if statement. The modified code is as follows:

def main():
 print(""Hey I'm here"")
 n = 0
 if n == 0: 
  print(""Hey I'm there"")
main()"
794,Find the closest decimal approximation of 0.875.,0.88
795,"Construct a loop to output all the elements from a list.['a', 'b', 'c', 'd']","for i in range(len(arr)):
    print(arr[i])"
796,Create an algorithm to detect if a string is a palindrome or not.,"def isPalindrome(s): 
    reversedString = s[::-1] 
  
    if (s == reversedString): 
        return True
    return False"
797,Provide a function to find the length of a string.,"def length(s):
    i = 0
    for ch in s:
        i += 1
    return i"
798,"Modify the following code to get the desired output.for i in range(1, 7):
    for j in range(1, i):
        print(j)","for i in range(1, 7):
    for j in range(1, i+1):
        print(j, end=' ')
    print()"
799,"Write a function that takes in two strings as input and outputs True if they are anagrams, False otherwise.s1 = âsilentâ
s2 = âlistenâ","def anagrams(s1, s2):
    if len(s1) != len(s2):
        return False
    s1_arr = list(s1)
    s2_arr = list(s2)
    s1_arr.sort()
    s2_arr.sort()
    for i in range(len(s1_arr)):
        if s1_arr[i] != s2_arr[i]:
            return False
    return True"
800,"Generate a sentence using the given array of words:arr = ['This', 'is', 'a', 'sentence']",This is a sentence.
801,"Swap the contents of two variables.a = 10
b = 15","a, b = b, a"
802,Generate a function which will validate a phone number using regular expression.,"def validate_phone(phone_number):
    regex = '^\+?(\d[\d-. ]+)?(\([\d-. ]+\))?[\d-. ]+\d$'
    if re.match(regex, phone_number):
        return True
    return False"
803,"Modify the given code to multiply two n x n matrices.def multiply(m1, m2, n):
    result = [[0 for x in range(n)] for y in range(n)]
    for i in range(n):
        for j in range(n): 
            result[i][j] = 0","def multiply(m1, m2, n):
    result = [[0 for x in range(n)] for y in range(n)]
    for i in range(n):
        for j in range(n):
            for k in range(n):
                result[i][j] += m1[i][k] * m2[k][j]
    return result"
804,"Write a function to return the index of an item in an array.arr = [1, 2, 3, 4, 5]
x = 4","def index(arr, x):
    for i in range(len(arr)):
        if arr[i] == x:
            return i
    return -1"
805,"Generate a list that has the all even numbers between 1 and 50, inclusive.","even_nums_list = [x for x in range(1,51) if x % 2 == 0]"
806,Reverse the string given in the inputHello world,"s = ""Hello world"" 
s = s[::-1] 
print(s)"
807,Create a class that creates a stack object and implements push and pop functions,"class Stack: 
	def __init__(self): 
		self.stack = [] 

	# This method adds an element at the top of the stack 
	def push(self, item): 
		self.stack.append(item) 
 
	# This method removes the topmost element and returns it 
	def pop(self): 
		if self.is_empty(): 
			return None
		return self.stack.pop() 
  
	# This method returns the topmost element without removing it 
	def peek(self): 
		if self.is_empty(): 
			return None
		return self.stack[-1] 
  
	# This method returns true or false depending on whether the stack is empty or not 
	def is_empty(self): 
		return len(self.stack) == 0"
808,"Implement the code in the input to the outputdef do_something(data):
    # TODO: Your code here
    pass","def do_something(data):
    # Your code here
    result = 1
    for num in data:
        result *= num
    return result"
809,"Find the minimum of two given numbers.4, 6","def min_two(a, b):
  if a < b:
    return a
  else:
    return b

min_val = min_two(4, 6)
print(min_val)"
810,"Sort the given array using insertion sort[5, 1, 4, 2, 8]","def insertion_sort(arr):
    """"""
    Sort given array using insertion sort
    """"""
    # Traverse through the array 
    for i in range(1, len(arr)): 
        key = arr[i] 
  
        # Move elements of arr[0..i-1], that are 
        # greater than key, to one position ahead 
        # of their current position 
        j = i - 1
        while j >= 0 and key < arr[j] : 
            arr[j + 1] = arr[j] 
            j -= 1
        arr[j + 1] = key 
  
    return arr

arr = [5, 1, 4, 2, 8]
sorted_arr = insertion_sort(arr)
print(sorted_arr)"
811,Generate a list comprehension that has the multiples of 3 between 0 and 30,"multiples_of_3 = [x for x in range(0, 31) if x % 3 == 0]"
812,"Return the index of a given value in a list.[1,2,3], 3","def find_index(lst, value):
    """"""
    Return the index of a given value in a list.
    """"""
    for i, v in enumerate(lst):
        if v == value:
            return i
    return -1

lst = [1,2,3]
val = 3
find_index(lst, val)"
813,"Return a new array after removing duplicates from a given array.[1, 2, 3, 2, 3, 4]","def remove_duplicates(arr):
    """"""
    Return a new array after removing duplicates from a given array.
    """"""
    new_arr = []
    for num in arr:
        if num not in new_arr:
            new_arr.append(num)
    return new_arr

arr = [1, 2, 3, 2, 3, 4]
new_arr = remove_duplicates(arr)
print(new_arr)"
814,Implement a non-recursive algorithm to compute the factorial of a given number7,"def factorial(n): 
    res = 1 
    # Calculate value of 
    # factorial in for loop 
    for i in range(2,n+1): 
        res = res * i 
    return res 

n = 7
print(""Factorial of"",n,""is"",factorial(n))"
815,"Compute the sum of two given lists[2,3,4], [1,2,3]","def sum_lists(lst1, lst2):
    """"""
    Compute the sum of two given lists.
    """"""
    new_list = []
    for i in range(len(lst1)):
        new_list.append(lst1[i] + lst2[i])
    return new_list

lst1 = [2,3,4]
lst2 = [1,2,3]
sum_lst = sum_lists(lst1, lst2)
print(sum_lst)"
816,Construct a class to represent a student,"class Student():
  def __init__(self, first_name, last_name, email, street, city, state, zip_code):
    self.first_name = first_name
    self.last_name = last_name
    self.email = email
    self.street = street
    self.city = city
    self.state = state
    self.zip_code = zip_code
  
  def change_email(self, new_email):
    self.email = new_email"
817,Create a function to compute the square root of a given number9,"def sqrt(n):
    """"""
    Compute the square root of a given number
    """"""
    r = n
    while r*r > n:
        r = (r + n/r) // 2
    return r

n = 9
val = sqrt(n)
print(val)"
818,"Create a method that prints all elements of an array[1,2,3]","def print_elements(arr):
    """"""
    Print all elements of an array.
    """"""
    for num in arr:
        print(num)

arr = [1,2,3]
print_elements(arr)"
819,"Given a string ``word``, write code to return the third character in the string.word = ""hello""",third_character = word[2] # the third character is 'l'
820,"Replace the ""TODO"" placeholder in the following python code.def add_two_numbers(a, b):
    '''This function takes two numbers and returns their sum.'''
    # TODO","def add_two_numbers(a, b):
    '''This function takes two numbers and returns their sum.'''
    return a + b"
821,Create a function to find the value of Pi rounded to the 3rd decimal point.,"def find_pi():
    pi = 3.141
    return round(pi, 3) # rounded to the 3rd decimal point"
822,"Rearrange the following code to print out the list elements in reverse order.colors = [""red"", ""green"", ""blue""]","colors = [""red"", ""green"", ""blue""]
colors.reverse()
for color in colors:
    print(color)"
823,"Find the difference between the two datesimport datetime
date1 = datetime.date(2020, 5, 15)
date2 = datetime.date(2020, 4, 15)","diff = date1 - date2
difference = diff.days # difference = 30 days"
824,"How would you find the maximum number in a list of length 5?list_nums = [1, 4, 7, 2, 9]",maximum_num = max(list_nums) # maximum_num = 9
825,"Write a function to multiply two given numbers and return the product.num1 = 5
num2 = 8","def multiply(num1, num2):
    '''This function multiplies two given numbers and returns the product.'''
    return num1 * num2 # returns 40"
826,"Retrieve the elements at indexes 2 and 5 in the list.list_nums = [1, 4, 7, 2, 9]","elements = [list_nums[2], list_nums[5]] # elements = [7, 9]"
827,"Using the comment as a guide, convert the following code from a for loop to a while loop.data_list = [1, 3, 5, 7, 9]

# Loops through the data_list and prints out all elements
for element in data_list:
    print(element)","data_list = [1, 3, 5, 7, 9]

# Loops through the data_list and prints out all elements
i = 0
while i < len(data_list):
    print(data_list[i])
    i += 1"
828,"Implement find_difference() to calculate the absolute difference between two integers.input_int1 = 5
input_int2 = 9","def find_difference(input_int1, input_int2):
    '''This function calculates the absolute difference between two integers.'''
    return abs(input_int1 - input_int2) # returns 4"
829,"How would you find the number of occurrences of a particular character in a given string?string = ""hellohowareyou""
char = 'o'",count_char = string.count(char) # count_char = 2
830,"Create a new list from an existing list with no duplication.list_int = [4, 7, 4, 8, 6, 7]","new_list_ints = list(set(list_int)) # new_list_ints = [4, 7, 8, 6]"
831,"How would you output the average value of a given list of numbers?list_int = [2, 7, 15, 25]",avg = sum(list_int) / len(list_int) # avg = 11.5
832,"Given a list of strings, write a program to return all strings with first character as 'c'.list_strings = [""cat"", ""dog"", ""cow"", ""duck""]","required_strings = []

for string in list_strings:
    if string[0] == 'c':
        required_strings.append(string)
    
# required_strings = [""cat"", ""cow""]"
833,"Merge two sorted lists into a single sorted listlist1 = [1,3,5,7] 
list2 = [2,4,6,8]","def merge_sorted_lists(list1, list2):
    merged_list = []
    i = 0
    j = 0

    # Iterate through the lists until all elements have been merged
    while (i < len(list1) and j < len(list2)):
        # If the element from the first list is smaller, add it 
        # to the merged list
        if list1[i] < list2[j]:
            merged_list.append(list1[i])
            i+=1
        # Otherwise add the element from the second list
        else:
            merged_list.append(list2[j])
            j+=1
 
    # Append any remaining elements from the first list
    while i < len(list1):
        merged_list.append(list1[i])
        i+=1
 
    # Append any remaining elements from the second list
    while j < len(list2):
        merged_list.append(list2[j])
        j+=1
 
    return merged_list"
834,Create a list of all the prime numbers between 3 and 20,"[3, 5, 7, 11, 13, 17, 19]"
835,"Find the length of the longest substring of a stringtext = ""Hello, world!""","length = 6 # The longest substring is ""Hello,"" which has 6 characters."
836,"Create a dictionary mapping each character in a string to its frequencytext = ""Hello, world!""","char_freq = {
    'H': 1,
    'e': 1,
    'l': 2,
    'o': 2,
    ',': 1,
    ' ': 1,
    'w': 1,
    'r': 1,
    'd': 1,
    '!': 1
}"
837,"Write a code to create a 2-D array with size (4,4) and fill it with 1's.",arr = [[1 for _ in range(4)] for _ in range(4)]
838,"Write a code to compute the sum of the elements in a given array of integers.arr = [2, 4, 6, 8]","int sum = 0;
for (int i = 0; i < arr.length; i++) {
    sum += arr[i];
}"
839,What is the cut-off frequency of a high-pass filter?,The cut-off frequency of a high-pass filter is the frequency at which the output signal is significantly reduced in magnitude compared with the input signal. It is used to remove low frequency components from a signal. It is commonly measured in hertz (Hz).
840,Describe the concept of OOP in programming.,"Object-oriented programming (OOP) is a programming paradigm that uses objects and classes to organize data and define methods of operation on that data. It is based on the concepts of abstraction, encapsulation, inheritance, and polymorphism. OOP simplifies the development and maintenance of software by providing a model for how to structure, design, and use code. OOP also makes it easier to build applications for large and small teams."
841,What are the two main types of bug tracking tool?,"The two main types of bug tracking tools are issue tracking systems and bug tracking systems. Issue tracking systems are used for managing customer service or support requests. Bug tracking systems are used for managing and tracking software bugs. Both tools are designed to help developers keep track of software issues, prioritize work, assign tasks, and report on progress."
842,Write a function to sort a list of strings by length.,"def sort_by_length(lst):
    lst.sort(key=len)
    return lst"
843,What is the purpose of using global variables in programming?,"The purpose of using global variables in programming is to allow variables to be shared among multiple functions. Global variables are accessible by all the functions within a program and provide an easy way to share data between different functions. By declaring a variable as global, its value can be changed by any other part of the program. This helps reduce the amount of code repetition and makes it easier to maintain the code."
844,"Complete the following code to implement a binary search.def binary_search(arr, x):","def binary_search(arr, x):
    left = 0
    right = len(arr) - 1
    
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == x:
            return mid
        elif arr[mid] < x:
            left = mid + 1
        else:
            right = mid - 1
    return -1"
845,What is the importance of writing unit tests?,"The importance of writing unit tests is to ensure that the code works correctly and produce the expected results. By writing automated unit tests, developers can quickly and easily detect bugs and errors in their code. Unit tests also help with the building of reliable system architectures since the code is thoroughly tested even before the application is released. Unit tests also help in the code maintenance process since programmers can quickly identify changes made in the code that introduces bugs."
846,Complete the following regular expression for email address validation.^[\w\.+-]+@,"^[\w\.+-]+@[\w\.-]+\.[a-zA-Z]{2,4}$"
847,What is the difference between a sequential and a parallel collection?,"The difference between a sequential and a parallel collection is the way in which data is processed. A sequential collection is processed one item at a time, from start to finish in a single thread. A parallel collection is processed in chunks at the same time, using multiple threads. The main advantage of using a parallel collection is that it can take advantage of multiple cores in a processor, allowing for faster data processing."
848,"Write a Python program to find the unique elements in a list.2, 3, 9, 5, 2, 4, 9","def unique_elements(input_list): 
    result_list = []
    for item in input_list: 
        if item not in result_list: 
            result_list.append(item)
    return result_list

input_list = [2, 3, 9, 5, 2, 4, 9]
print(unique_elements(input_list))
# Output: [2, 3, 9, 5, 4]"
849,What is Big O notation?,Big O notation is a measure of the complexity of an algorithm. It describes the worst-case complexity of a given algorithm in terms of time and/or space as the problem size increases.  It can indicate whether an algorithm's performance increases linearly or exponentially as the problem size increases.
850,What is an object in object-oriented programming?,"In object-oriented programming, an object is a self-contained entity that contains both data and code, which together define and control its behavior. Objects can communicate with one another by sending messages and receiving data in response. Objects are used to represent real-world concepts, such as people, places, and things."
851,"Create a for loop for iterating over list y and adding its elements to a new listy = [1,2,3,4,5]","new_list = []
for el in y:
    new_list.append(el)"
852,"Create a function that takes a number ""n"" as an argument and returns the nth Fibonacci numbern = 15","def fibonacci(n): 
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return 0
    elif n == 1: 
        return 1
    else: 
        return fibonacci(n-1) + fibonacci(n-2) 
  
fibonacci(15)"
853,Create an if statement to determine if an input number is even.num = 5,"if num % 2 == 0:
    print(""The number is even"")
else:
    print(""The number is odd"")"
854,"Construct a for loop to print out each element in a given list.my_list = [2, 3, 5, 8]","for i in my_list:
    print(i)"
855,"Construct code to compute the average height from a list of heights.heights = [170, 140, 160, 180, 160]","sum_heights = 0
for height in heights:
    sum_heights += height
avg_height = sum_heights/len(heights)"
856,"Create a dictionary where the keys are names and the values are their associated ages.name_list = [""Kai"", ""Jane"", ""Andy"", ""Emily""]
age_list = [23, 32, 16, 55]","name_age_dict = dict(zip(name_list, age_list))"
857,"Construct a code to check if an input string is a palindrome.s = ""racecar""","def check_palindrome(s): 
    return s == s[::-1] 
  
check_palindrome(s)"
858,"Create a for loop for printing out the elements in a given list in reverse order.my_list = [1,2,3,4]","for i in range(len(my_list)-1, -1, -1):
    print(my_list[i])"
859,"Edit the following code such that output is an array of objects of key value pairs.let fruit = [""apple"", ""banana"", ""orange""];
let colors = [""red"", ""yellow"", ""orange""];","let fruits = [""apple"", ""banana"", ""orange""];
let colors = [""red"", ""yellow"", ""orange""];

let fruitObj = [];

for (let i = 0; i < fruits.length; i++) {
    let obj = {};
    obj.name = fruits[i];
    obj.color = colors[i];
    fruitObj.push(obj);
}"
860,"Write a function that takes a string, a key and a value as parameters and replaces all occurrences of the key with the value in the string.s = ""This is a sample sentence with some keys to replace.""
key = ""keys""
value = ""words""","def replace_key_value(s, key, value):
  replacedStr = s.replace(key, value) 
  return replacedStr"
861,"Write a function that prints an array elements in a reverse order.arr = [0, 1, 2, 3, 4, 5]","def reverse_print_array(arr):
  for i in range(len(arr)-1, -1, -1):
    print(arr[i])"
862,"Create a program to compare the elements of three arrays and print the elements that are present in all the arrays.arr1 = [2, 3, 4]
arr2 = [1, 2, 5]
arr3 = [2, 4, 6]","def compare_arrays(arr1, arr2, arr3):
  common_elements = []
  for elem in arr1:
    if elem in arr2 and elem in arr3:
      common_elements.append(elem)
  print(common_elements)"
863,"Write a function that takes an array of integers and returns the minimum difference between two consecutive elements.arr = [4, 2, 7, 5, 1]","def min_difference(arr):
  min_diff = abs(arr[1] - arr[0])
  for i in range(1, len(arr)-1):
    diff = abs(arr[i+1] - arr[i])
    if diff < min_diff:
      min_diff = diff
  return min_diff"
864,"Create an algorithm to find the smallest positive integer not present in an array.arr = [2, 3, 7, 6, 8, -1, -10, 15]","def find_missing(arr):
  # sort the array
  arr.sort()
  
  # iterate through the array 
  # to find the smallest positive integer not present 
  for i in range(len(arr)):
    if arr[i] > 0:
      if arr[i+1] != arr[i] + 1:
        return arr[i] + 1
  return arr[-1] + 1"
865,"Sort the following array using the merge sort algorithm.arr = [4, 10, 5, 1, 8, 9]","def merge_sort(arr):
    if len(arr) > 1: 
      mid = len(arr)//2
      left_arr = arr[:mid]
      right_arr = arr[mid:]

      merge_sort(left_arr)
      merge_sort(right_arr)

      i = j = k = 0

      while i < len(left_arr) and j < len(right_arr): 
        if left_arr[i] < right_arr[j]: 
            arr[k] = left_arr[i] 
            i+=1
        else: 
            arr[k] = right_arr[j] 
            j+=1
        k+=1
      while i < len(left_arr): 
        arr[k] = left_arr[i] 
        i+=1
        k+=1
      
      while j < len(right_arr): 
        arr[k] = right_arr[j] 
        j+=1
        k+=1"
866,"Create an algorithm for searching for an element in a sorted array.arr = [2, 4, 6, 8, 10]
target = 6","def binary_search(arr, target):
  low = 0
  high = len(arr) - 1

  while low <= high: 
    mid = (low + high) // 2
    if arr[mid] == target: 
      return mid 
    elif arr[mid] < target: 
      low = mid + 1
    else: 
      high = mid - 1
  return -1"
867,"Assign ""D"" as the grade for a student whose score is higher than 80 and lower than 90.score = 85","if score > 80 and score < 90:
    grade = ""D"""
868,"List the people who have bought ""Apple iPod"" from the ""Electronics"" category.","SELECT people 
FROM orders 
WHERE item = 'Apple iPod' AND category = 'Electronics'"
869,Summarize this text in one sentence.Machine Learning is the study of algorithms that improve automatically through the experience gained from available data.,Machine Learning is the process of using algorithms to gain insights from data and to improve automation.
870,"Calculate the total cost of items purchased by a customer.price1 = 10
quantity1 = 5
price2 = 15
quantity2 = 3","total_cost = (price1*quantity1) + (price2*quantity2)
print(total_cost)  # Output: 95"
871,"Find the sum of the squares of the following numbers.[2, 3, 4]","sum = 0
for number in [2, 3, 4]:
    sum += number ** 2

print(sum) # Output: 29"
872,"Edit the following code to make it run without errors.def squared(num):
    return num * num
 
num = 5
print(squared(5)","def squared(num):
    return num * num
 
num = 5
print(squared(5))"
873,Design a function with the following output.,"def sayHi(name):
    print(""Hi ""+name+""! How are you today?"")"
874,"Edit the following code to check for even numbers in the array.arr = [1, 2, 3, 4, 5]","arr = [1, 2, 3, 4, 5]

for i in arr: 
 if i % 2 == 0 : 
 print(i)"
875,Develop an algorithm in Python to calculate the factorial of a given number n.,"def factorial(n): 
   if n == 0: 
       return 1
   elif n > 0: 
       return n * factorial(n-1) 
   else: 
       return ""Enter a positive integer"""
876,"Create a coding program that sorts a given list of numbers into ascending order.[4, 3, 2, 5, 9, 1, 8]","def ascending_order(arr): 

# Bubble sort algorithm. 
    n = len(arr) 
   
    # Traverse through all array elements 
    for i in range(n): 
   
        # Last i elements are already in place 
        for j in range(0, n-i-1): 
   
            # traverse the array from 0 to n-i-1 
            # Swap if the element found is greater 
            # than the next element 
            if arr[j] > arr[j+1] : 
                arr[j], arr[j+1] = arr[j+1], arr[j] 
                
    return arr

# Test 
arr = [4, 3, 2, 5, 9, 1, 8]

ascending_order(arr) 
  
print (""Sorted array is:"") 
for i in range(len(arr)): 
    print (""%d"" %arr[i]),"
877,"Write a function that collects elements from two given arrays and creates a new array.array1 = [1, 2, 3] 
array2 = [4, 5, 6]","def collect(array1, array2):
    result = array1 + array2 
    return result"
878,"Develop a program that takes a number and prints ""true"" if it is a prime number, and ""false"" otherwise.","def is_prime(number):
  if number<1:
    return False
  for check in range(2,number):
    if number%check==0:
      return False
  return True"
879,"Develop a function to find all elements in a given array which appear more than once.nums = [4, 3, 6, 7, 3, 8, 4, 9]","def find_duplicates(nums):
    duplicates = []
    for i in range(len(nums)):
        for j in range(i+1, len(nums)):
            if nums[i] == nums[j]:
                duplicates.append(nums[i])
    return duplicates"
880,"Design a function to find the average of a given array.array = [1, 2, 3]","def array_mean(array):
    total = 0
    for num in array:
        total += num
    mean = total / len(array)
    return mean"
881,Develop an algorithm to print out the following pattern.,"def print_pattern():
    for i in range(1, 5):
        for j in range(1,i+1):
            print(j, end="" "")
        print()"
882,"Create a program to calculate the standard deviation of an array of numbers.arr = [10, 8, 12, 5, 9]","def stdev(arr):
    n = len(arr)
    mean = sum(arr) / n
    variance = sum((x - mean) ** 2 for x in arr) / n
    return (variance ** 0.5)"
883,"Create a function that calculates the average of given list of numbers.[10, 15, 20, 25, 30]","def mean(nums):
    sum = 0
    for i in nums:
      sum += i
    return sum / len(nums)"
884,You need to code a program that prints the absolute difference between two numbers.15 and 10,"def difference(num1, num2):
    return abs(num1 - num2)"
885,Calculate the sum of all the prime numbers between a given range.15 and 20,"def sum_of_primes(start, end): 
    sum = 0
    for i in range(start, end + 1):
        if isPrime(i): 
            sum = sum + i 
    return sum
    
def isPrime(num): 
    if num > 1: 
        for i in range(2, num): 
            if (num % i) == 0: 
                return False
        return True
    else: 
        return False"
886,Formulate a query to select the rows based on multiple conditionsSELECT * FROM fruit WHERE color='red' AND quantity > 5,No output required
887,"Implement a recursive binary search on a given sorted list.[-4, -2, 0, 6, 7, 8]","def binary_search(arr, num, start, end): 
    if start >= end: 
        return None
  
    mid = start + (end - start)//2
    if arr[mid] == num: 
        return mid 
  
    if arr[mid] < num: 
        return binary_search(arr, num, mid+1, end) 
    else: 
        return binary_search(arr, num, start, mid-1)"
888,"You need to code a program that converts a given number of days to years, month and days.450 days","def convertToYMD(num_days):

    years = int(num_days/365)
    rem_days = num_days % 365
    months = int(rem_days / 30)
    days = rem_days % 30
    return [years, months, days]"
889,"Write a function to flatten a given array of lists.[[1,2], [3,4], [5,6]]","def flatten(arr):
    output_list = []
    for sublist in arr:
        for item in sublist:
            output_list.append(item)
    return output_list"
890,Create a function to sort a given set of strings in dictionary order.,"def sort_dict(arr):
	arr.sort(key=lambda s: [s.lower(), s])
	return arr"
891,"Construct a python class to store a person's data like name, age, and hobbies.","class Person:
     def __init__(self, firstname, lastname, age, hobbies):
           self.firstname = firstname
           self.lastname = lastname
           self.age = age
           self.hobbies = hobbies"
892,"Format a given string according to a given pattern.string = 'John Doe, 25'
pattern = '{lastname}, {firstname} {age}'","formatted_string = pattern.format(firstname = string.split()[0], lastname = string.split()[1], age = string.split()[2])"
893,Construct a python method to get the nth Fibonacci number.,"def get_nth_fibonacci(n):
 if n == 0 or n == 1:
 return n
 else:
 return get_nth_fibonacci(n-1) + get_nth_fibonacci(n-2)"
894,"Modify the following python code so that it accepts two numbers as input and returns the maximum of those numbers.def get_max(num1):
 return num1","def get_max(num1, num2):
 return max(num1, num2)"
895,Implement a method to check if a given string has all unique characters.,"def has_unique_chars(string): 
  chars = set() 
  for char in string: 
    if char in chars: 
      return False 
    else: 
      chars.add(char) 
  return True"
896,Suggest a method to remove a given item from a given list.,"def remove_item(lst, item):
 if item in lst:
    lst.remove(item)"
897,"Create a Pandas DataFrame from a given dictionary of lists.data = {'Year': [2020, 2021, 2022],
 'Sales': [50000, 70000, 60000]}","import pandas as pd

df = pd.DataFrame(data)"
898,Write an expression to verify the validity of a given password in Python.,"import re 
  
def check(password): 
  
    #Define pattern rules
    pattern = r""^(?=.*[a-z])(?=.*[A-Z])(?=.*\d)[a-zA-Z\d]{8,}""
      
    if (re.search(pattern,password)): 
        return True
    else: 
        return False 
  
# Driver code     
password = ""Geronimo1""
if (check(password)): 
    print(""Valid Password"") 
else: 
    print(""Invalid Password"")"
899,"Organize the following array of objects in ascending order by the 'name' field.[ 
  { name: 'Jill', lastname: 'Smith' }, 
  { name: 'Bob', lastname: 'Jones' },
  { name: 'Jack', lastname: 'Bauer' }
]","let arr = [ 
  { name: 'Jill', lastname: 'Smith' }, 
  { name: 'Bob', lastname: 'Jones' },
  { name: 'Jack', lastname: 'Bauer' }
];

arr.sort((a, b) => (a.name > b.name) ? 1 : -1);
  
console.log(arr);"
900,"Write a function in Python to assign the value 0 for special values, i.e. empty strings and NaN.my_list = [5, 2, 3, None, '', 8]","def assign_values(list): 
    for i, val in enumerate(list): 
        if not val or val != val: 
            list[i] = 0
            
    return list

my_list = [5, 2, 3, None, '', 8] 
result = assign_values(my_list) 
print(result) 
# Output: [5, 2, 3, 0, 0, 8]"
901,"Calculate the sum of the numbers given in the following list using Python.my_list = [1, 2, 3, 4, 5]","my_list = [1, 2, 3, 4, 5]

# Calculate the sum 
sum_nums = sum(my_list)

print(sum_nums) 
# Output: 15"
902,Design a GUI in Python to accept user input and display a welcome message.Message: Welcome to our website!,"import tkinter as tk

window = tk.Tk()

label = tk.Label(text='Please enter your name:')
label.pack()

name = tk.Entry(window, width=25)
name.pack()

def greet_user():
	welcome = ""Welcome to our website, "" + name.get()
	
	greeting = tk.Label(text=welcome)
	greeting.pack()

btn = tk.Button(window, text='Submit', command=greet_user)
btn.pack()

window.mainloop()"
903,Describe how a bubble sort algorithm works.,"Bubble sort is a sorting algorithm in which adjacent elements in an array are compared and swapped if they are not in the correct order. The algorithm steps through the array multiple times, comparing adjacent elements and swapping them if the elements are not in the correct order. This process is repeated until all elements in the array are sorted."
904,"Given a string, write a program to remove the leading and trailing white spaces from the string and output the modified string.String: ""Hello world   ""","# Python program to remove leading and trailing white spaces from a string 
  
# Function to remove leading and trailing white spaces 
def removeWhitespaces(string): 
    # Remove leading and trailing whitespaces 
    newString = string.strip() 
  
    # Returns the new string with leading and trailing 
    # whitespaces removed 
    return newString 
  
# Driver program 
inputString = ""Hello world   ""
  
# Printing the modified string 
print(removeWhitespaces(inputString))"
905,What is the difference between sort() and sorted()?,"The sort() method sorts the elements of a given iterable in ascending order. It modifies the original list in place and does not return a value. The sorted() method on the other hand, returns an iterable sorted list without modifying the original sequence. It takes an optional 'key' argument to specify a function to be called on each list element prior to making comparisons."
906,"Define a function to collect unique values from a list of dictionaries based on the ""key"" field.list = [{'name': 'Apple', 'price': 100}, {'name': 'Mango', 'price': 90}, {'name': 'Apple', 'price': 200}]","def collect_unique(dic_list, key):
    unique_values = set()
    for item in dic_list:
        val = item.get(key)
        if val is not None:
            unique_values.add(val)
    return list(unique_values)"
907,"Output the concatenation of two strings.String1: ""Hello""
String2: ""world""",print(string1 + string2)
908,Find the longest word in the given sentence.Sentence: âThe cow jumped over the moon.â,"longest_word = max(sentence.split(), key=len)"
909,"Identify which of the two strings is a valid URL.str1 = ""http://example.com/blog""
str2 = 'example.com/blog'","str1 is a valid URL, whereas str2 is not."
910,"Modify the following function to print out the 'type' of each argument.def print_args(arg1, arg2):
    print(""Arg 1:  %s"" % arg1)
    print(""Arg 2:  %s"" % arg2)","def print_args(arg1, arg2):
    print(""Arg 1: %s"" % str(type(arg1))) 
    print(""Arg 2: %s"" % str(type(arg2))) 
    print(""Arg 1:  %s"" % arg1)
    print(""Arg 2:  %s"" % arg2)"
